formula,year,Radio,IR,UV/Vis,authors,total,C,H,N,O,Si,S,Cl,Mg,Na,Al,K,F,P,Li,Fe,disputed,Ti,D,Ar,Cr,V,He,Ca,radical?
H2COH+,1996,True,False,False,"['M Ohishi', 'S Ishikawa', 'T Amano', 'M Irvine', 'E Dickens', 'M Ziurys']",5,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,False
C7H,1997,True,False,False,"['M Guélin', 'J Cernicharo', 'J Travers', 'C McCarthy', 'A Gottlieb', 'P Thaddeus', 'M Ohishi', 'S Saito', 'S Yamamoto']",8,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
CH3COOH,1997,True,False,False,"['M Mehringer', 'E Snyder', 'Y Miao', 'F Lovas']",8,2.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,False
H2C6,1997,True,False,False,"['D Langer', 'T Velusamy', 'H Kuiper', 'R Peng', 'C McCarthy', 'J Travers', 'A Kovács', 'A Gottlieb', 'P Thaddeus']",8,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
HF,1997,True,False,False,"['A Neufeld', 'J Zmuidzinas', 'P Schilke', 'G Phillips']",2,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,False
c-C2H4O,1997,True,False,False,"['E Dickens', 'M Irvine', 'M Ohishi', 'M Ikeda', 'S Ishikawa', 'A Nummelin', 'A Hjalmarson']",7,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,False
LiH,1998,True,False,False,"['F Combes', 'T Wiklind', 'N Friedel', 'A Kemball', 'D Fields', 'A Neufeld', 'F Goldsmith', 'C Comito', 'A Schmiedeke']",2,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,False
C5N,1998,True,False,False,"['M Guélin', 'N Neininger', 'J Cernicharo']",6,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,True
SiC3,1999,True,False,False,"['J Apponi', 'C McCarthy', 'A Gottlieb', 'P Thaddeus']",4,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,False
CH3,2000,False,True,False,"['H Feuchtgruber', 'P Helmich', 'M Wright']",4,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,True
CH2OHCHO,2000,True,False,False,"['M Hollis', 'J Lovas', 'R Jewell']",8,2.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,False
SiCN,2000,True,False,False,"['M Guélin', 'S Muller', 'J Cernicharo', 'J Apponi', 'C McCarthy', 'A Gottlieb', 'P Thaddeus']",3,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,True
C4H2,2001,False,True,False,"['J Cernicharo', 'M Heras', 'M Tielens', 'R Pardo', 'F Herpin', 'M Guélin', 'M Waters']",6,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
C6H2,2001,False,True,False,"['J Cernicharo', 'M Heras', 'M Tielens', 'R Pardo', 'F Herpin', 'M Guélin', 'M Waters']",8,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
C6H6,2001,False,True,False,"['J Cernicharo', 'M Heras', 'M Tielens', 'R Pardo', 'F Herpin', 'M Guélin', 'M Waters']",12,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,False
C2H5N,2001,True,False,False,"['E Dickens', 'M Irvine', 'A Nummelin', 'H Møllendal', 'S Saito', 'S Thorwirth']",8,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
CH2CHOH,2001,True,False,False,"['E Turner', 'J Apponi']",7,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,False
AlNC,2002,True,False,False,"['M Ziurys', 'C Savage', 'L Highberger', 'J Apponi', 'M Guélin', 'J Cernicharo']",3,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,False
FeO,2002,True,False,False,"['M Walmsley', 'R Bachiller', 'G Pineau', 'P Schilke']",2,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,False
HOCH2CH2OH,2002,True,False,False,"['M Hollis', 'J Lovas', 'R Jewell', 'H Coudert']",10,2.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,False
NH2CH2COOH,2003,False,False,False,[],10,2.0,5.0,1.0,2.0,,,,,,,,,,,,True,,,,,,,,False
C14H10,2004,False,True,False,"['P Vijh', 'N Witt', 'D Gordon', 'H Nayfeh', 'R Habbal']",24,14.0,10.0,,,,,,,,,,,,,,True,,,,,,,,False
N2,2004,False,False,True,"['C Knauth', 'G Andersson', 'R McCandliss', 'W Moos']",2,,,2.0,,,,,,,,,,,,,,,,,,,,,False
CH2CHCHO,2004,True,False,False,"['M Hollis', 'R Jewell', 'J Lovas', 'A Remijan', 'H Møllendal']",8,3.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,False
CH3CH2CHO,2004,True,False,False,"['M Hollis', 'R Jewell', 'J Lovas', 'A Remijan', 'H Møllendal']",10,3.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,False
SiNC,2004,True,False,False,"['M Guélin', 'S Muller', 'J Cernicharo', 'C McCarthy', 'P Thaddeus']",3,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,True
HC4N,2004,True,False,False,"['J Cernicharo', 'M Guélin', 'R Pardo']",6,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
CO(CH2OH)2,2005,True,False,False,"['L Widicus', 'A Blake', 'J Apponi', 'T Halfen', 'M Ziurys', 'M Hollis', 'J Remijan', 'J Lovas']",12,3.0,6.0,,3.0,,,,,,,,,,,,True,,,,,,,,False
CH2CCHCN,2006,True,False,False,"['J Lovas', 'J Remijan', 'M Hollis', 'R Jewell', 'E Snyder', 'N Chin', 'I Kaiser', 'C Lemme', 'C Henkel']",8,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
c-H2C3O,2006,True,False,False,"['M Hollis', 'J Remijan', 'R Jewell', 'J Lovas']",6,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,False
